estado,estacion,antena,latitud,longitud,altitud,fecha,dir_rafaga,dir_viento,vel_rafaga,vel_viento,temperatura,humedad,presion_barometrica,precipitacion,radiacion_solar,rh
MC,LA PIEDAD,    OCLSP,0.4785732067285471,0.3809556288387,0.40227112719443003,02/05/2019,0.7583318981561209,0.749302232299541,0.7282525995434951,0.513929732239591,0.573960120702917,0.34940121924772904,1.67970053791793e-07,0.5,0.46644556802201503,Lerma Santiago
MC,LA PIEDAD,    OCLSP,0.4785732067285471,0.3809556288387,0.40227112719443003,06/05/2019,0.749998611118827,0.7103052350683279,0.894913227781602,0.9658721560130008,0.565084906218567,0.30120960940700203,1.67970053791793e-07,0.5,0.46644556802201503,Lerma Santiago
MC,LA PIEDAD,    OCLSP,0.4785732067285471,0.3809556288387,0.40227112719443003,07/05/2019,0.7583318981561209,0.7381602330906228,0.7336871852469109,0.738353196099675,0.523667238624933,0.253017999566276,1.67970053791793e-07,0.5,0.46644556802201503,Lerma Santiago
MC,LA PIEDAD,    OCLSP,0.4785732067285471,0.3809556288387,0.40227112719443003,09/05/2019,0.7583318981561209,0.727018233881705,0.7228180138400779,0.5456585667853271,0.538459262765517,0.240970097106094,1.67970053791793e-07,0.5,0.46644556802201503,Lerma Santiago
MC,LA PIEDAD,    OCLSP,0.4785732067285471,0.3809556288387,0.40227112719443003,11/05/2019,0.788887283959533,0.777157230321837,0.6992681424586059,0.509286488159728,0.54437607242175,0.240970097106094,1.67970053791793e-07,0.5,0.46644556802201503,Lerma Santiago
MC,LA PIEDAD,    OCLSP,0.4785732067285471,0.3809556288387,0.40227112719443003,15/05/2019,0.783331759268004,0.7799427301240659,0.630430056881997,0.43035133880204296,0.573960120702917,0.28916170694682103,1.67970053791793e-07,0.5,0.46644556802201503,Lerma Santiago
MC,LA PIEDAD,    OCLSP,0.4785732067285471,0.3809556288387,0.40227112719443003,16/05/2019,0.8138871450714159,0.7660152311129179,0.681152856780551,0.40326574833617096,0.582835335187267,0.313257511867184,1.67970053791793e-07,0.5,0.46644556802201503,Lerma Santiago
MC,LA PIEDAD,    OCLSP,0.4785732067285471,0.3809556288387,0.40227112719443003,17/05/2019,0.6444436419797671,0.724232734079476,0.6503568711278579,0.623045968116391,0.50887521448435,0.409640731548637,1.67970053791793e-07,0.5,0.46644556802201503,Lerma Santiago
MC,LA PIEDAD,    OCLSP,0.4785732067285471,0.3809556288387,0.40227112719443003,18/05/2019,0.747220848773062,0.7298037336839351,0.701079671026412,0.7724036526853431,0.600585764155967,0.373497024168092,1.67970053791793e-07,0.5,0.46644556802201503,Lerma Santiago
MC,LA PIEDAD,    OCLSP,0.4785732067285471,0.3809556288387,0.40227112719443003,22/05/2019,0.755554135810357,0.7632297313106892,0.686587442483968,0.6485838105556421,0.609460978640317,0.265065902026457,1.67970053791793e-07,0.5,0.46644556802201503,Lerma Santiago
MC,LA PIEDAD,    OCLSP,0.4785732067285471,0.3809556288387,0.40227112719443003,23/05/2019,0.747220848773062,0.754873231904,0.6394876997210239,0.349868441417737,0.609460978640317,0.253017999566276,1.67970053791793e-07,0.5,0.46644556802201503,Lerma Santiago
MC,LCARDENAS,    SEMAR,0.235755973620043,0.36990631959104203,2.4160413548966605e-07,04/05/2019,0.6833323148204731,0.501392749901115,0.371381471685809,0.30498374864572,0.600585764155967,0.8915568299559051,0.989585688694855,0.5,0.46644556802201503,Balsas
MC,LCARDENAS,    SEMAR,0.235755973620043,0.36990631959104203,2.4160413548966605e-07,07/05/2019,0.7055544135865909,0.743731232695082,0.507246114271222,0.7058504875406278,0.5040081989861671,0.709509753101429,1.67970053791793e-07,0.5,0.46644556802201503,Balsas
MC,LCARDENAS,    SEMAR,0.235755973620043,0.36990631959104203,2.4160413548966605e-07,08/05/2019,0.741665324081533,0.626740241001443,0.481884714321945,0.405587370376103,0.5040081989861671,0.709509753101429,1.67970053791793e-07,0.5,0.46644556802201503,Balsas
