Antena,Fecha,Latitud,Longitud,Codigo,Temp_max_emas,Temp_min_emas,Hidroregion,Topoforma,Temp_max_merra,Temp_min_merra,Differential_max,Differential_min,Temp_mean_merra,Temp_mean_emas,Humedad,Presion_barometrica,Precipitacion,Radiacion_solar,Etiqueta_clase
31045,09/03/19,20.6,-89.02,31045,-99,-99,Yucatan Norte,Llanura,35.6813,19.81763,-99,-99,27.21915,,,,,,0
31045,10/03/19,20.6,-89.02,31045,-99,-99,Yucatan Norte,Llanura,35.63303,22.62344,-99,-99,28.47321,,,,,,0
31045,11/03/19,20.6,-89.02,31045,-99,-99,Yucatan Norte,Llanura,35.75656,21.85141,-99,-99,28.36569,,,,,,0
31045,12/03/19,20.6,-89.02,31045,-99,-99,Yucatan Norte,Llanura,35.4693,22.26968,-99,-99,28.44406,,,,,,0
31045,13/03/19,20.6,-89.02,31045,-99,-99,Yucatan Norte,Llanura,35.58749,22.01962,-99,-99,28.29816,,,,,,0
31045,14/03/19,20.6,-89.02,31045,-99,-99,Yucatan Norte,Llanura,36.47275,22.83212,-99,-99,28.73441,,,,,,0
31051,08/03/19,21.02,-89.88,31051,-99,-99,Yucatan Norte,Llanura,33.07562,21.91736,-99,-99,26.81595,,,,,,0
31051,09/03/19,21.02,-89.88,31051,-99,-99,Yucatan Norte,Llanura,35.03851,22.38464,-99,-99,27.82413,,,,,,0
31051,10/03/19,21.02,-89.88,31051,-99,-99,Yucatan Norte,Llanura,34.79422,23.6474,-99,-99,29.08456,,,,,,0
31051,11/03/19,21.02,-89.88,31051,-99,-99,Yucatan Norte,Llanura,34.16135,23.83023,-99,-99,29.00275,,,,,,0
31051,12/03/19,21.02,-89.88,31051,-99,-99,Yucatan Norte,Llanura,33.89212,24.2388,-99,-99,28.67471,,,,,,0
31051,13/03/19,21.02,-89.88,31051,-99,-99,Yucatan Norte,Llanura,35.22293,23.57663,-99,-99,28.95395,,,,,,0
31051,14/03/19,21.02,-89.88,31051,-99,-99,Yucatan Norte,Llanura,35.78436,23.9892,-99,-99,29.4252,,,,,,0
31052,08/03/19,20.88,-89.75,31052,-99,-99,Yucatan Norte,Llanura,34.31784,21.37509,-99,-99,27.16895,,,,,,0
31052,09/03/19,20.88,-89.75,31052,-99,-99,Yucatan Norte,Llanura,35.96606,21.85504,-99,-99,28.14679,,,,,,0
31052,10/03/19,20.88,-89.75,31052,-99,-99,Yucatan Norte,Llanura,35.81458,23.27756,-99,-99,29.38272,,,,,,0
31052,11/03/19,20.88,-89.75,31052,-99,-99,Yucatan Norte,Llanura,35.39093,23.39319,-99,-99,29.31192,,,,,,0
31052,12/03/19,20.88,-89.75,31052,-99,-99,Yucatan Norte,Llanura,35.0965,23.91461,-99,-99,29.15045,,,,,,0
31052,13/03/19,20.88,-89.75,31052,-99,-99,Yucatan Norte,Llanura,36.05719,23.34894,-99,-99,29.26355,,,,,,0
31052,14/03/19,20.88,-89.75,31052,-99,-99,Yucatan Norte,Llanura,36.79736,23.74771,-99,-99,29.70795,,,,,,0
31054,08/03/19,21.3,-88.27,31054,-99,-99,Yucatan Norte,Llanura,32.55594,19.96439,-99,-99,25.51071,,,,,,0
31054,09/03/19,21.3,-88.27,31054,-99,-99,Yucatan Norte,Llanura,34.13547,20.26544,-99,-99,26.38849,,,,,,0
31054,10/03/19,21.3,-88.27,31054,-99,-99,Yucatan Norte,Llanura,34.22855,22.37817,-99,-99,27.82193,,,,,,0
31054,11/03/19,21.3,-88.27,31054,-99,-99,Yucatan Norte,Llanura,34.10675,22.41058,-99,-99,27.80328,,,,,,0
31054,12/03/19,21.3,-88.27,31054,-99,-99,Yucatan Norte,Llanura,33.97293,22.37845,-99,-99,27.70712,,,,,,0
31054,13/03/19,21.3,-88.27,31054,-99,-99,Yucatan Norte,Llanura,34.16211,21.73035,-99,-99,27.48758,,,,,,0
31054,14/03/19,21.3,-88.27,31054,-99,-99,Yucatan Norte,Llanura,34.77368,21.62012,-99,-99,27.72556,,,,,,0
31056,08/03/19,21.11,-89.45,31056,-99,-99,Yucatan Norte,Llanura,33.66547,21.06509,-99,-99,26.638,,,,,,0
31056,09/03/19,21.11,-89.45,31056,-99,-99,Yucatan Norte,Llanura,35.01837,21.53448,-99,-99,27.61932,,,,,,0
31056,10/03/19,21.11,-89.45,31056,-99,-99,Yucatan Norte,Llanura,35.00208,22.96582,-99,-99,28.94141,,,,,,0
